"nuc_id","n_area","soma_id","s_area","locX","locY","nuc_soma_ratio"
1,1379,2,2040,5074.1181372549,3293.58382352941,0.675980392156863
2,2555,3,3895,5447.80462130937,3334.97766367137,0.65596919127086
3,1833,4,2644,5503.04614220877,3347.45121028744,0.693267776096823
4,1723,6,2868,5513.92956764296,3434.68444909344,0.600767085076709
5,1828,7,2692,5148.38298662704,3489.0646359584,0.679049034175334
6,2128,8,3071,4998.79452946923,3516.51611852817,0.692933897753175
7,2073,9,3637,5245.45257080011,3515.54357987352,0.569975254330492
8,2225,10,4074,5196.24226804124,3575.84364261168,0.546146293568974
9,2489,11,4989,5129.87071557426,3602.31268791341,0.498897574664261
10,1270,13,2306,4362.25628794449,3617.38291413703,0.550737207285343
11,2694,14,4261,4997.70664163342,3648.26003285614,0.632245951654541
12,2380,15,4188,5334.98662846227,3697.20510983763,0.56829035339064
13,1958,16,3814,4739.25117986366,3714.10199265863,0.513371788148925
14,1436,17,2605,4450.36161228407,3737.2660268714,0.551247600767754
15,2074,19,3458,4667.49161364951,3785.16657027183,0.599768652400231
16,1891,20,2993,4376.5947210157,3796.28433010358,0.631807550952222
17,1353,21,2188,5523.3907678245,3819.23126142596,0.618372943327239
18,1074,22,1865,5608.51528150134,3842.87131367292,0.575871313672922
19,1729,24,2358,4047.77820186599,3901.96140797286,0.733248515691264
20,2512,25,4083,4463.84300759246,3924.14523634582,0.615233896644624
21,1698,26,2867,4227.34356470178,3940.91977677014,0.592256714335542
22,1689,27,2838,4588.54052149401,3957.42248062016,0.595137420718816
23,1561,28,2678,3905.4787154593,3968.37229275579,0.582897684839432
24,1393,29,2983,5273.27556151525,3970.09654710023,0.466979550787798
25,1988,30,3601,4465.67231324632,4020.02999166898,0.5520688697584
26,1351,32,2712,4068.91519174041,4035.89196165192,0.498156342182891
27,1576,33,2955,5693.39086294416,4036.70456852792,0.533333333333333
28,1930,36,3316,4211.9728588661,4055.36700844391,0.582026537997587
29,2494,35,4075,4317.93496932515,4051.22993865031,0.612024539877301
30,1197,38,2121,4278.92597831212,4087.66525223951,0.564356435643564
31,1992,39,2743,4583.24608093329,4104.16040831207,0.726212176449143
32,1491,40,2386,5146.3000838223,4167.87133277452,0.624895222129086
33,1740,41,2431,4784.04895104895,4185.942821884,0.715754833401892
34,1584,42,2464,3513.28165584416,4197.51948051948,0.642857142857143
35,1933,43,3369,4326.33184921342,4202.8946274859,0.573760759869397
36,1704,44,2382,3929.09277917716,4235.95256087322,0.71536523929471
37,1714,45,2475,2986.32363636364,4244.70747474747,0.692525252525253
38,1689,46,2308,3213.03379549393,4268.79376083189,0.731802426343154
39,1900,47,3299,4337.48469233101,4306.88208548045,0.575932100636557
40,1886,49,2969,3499.42943752105,4318.8925564163,0.63523071741327
41,1792,48,2659,4052.75705152313,4314.77322301617,0.673937570515231
42,1238,50,2252,4587.3823268206,4348.96669626998,0.549733570159858
43,1399,51,2207,3089.72949705483,4366.25373810603,0.633892161304939
44,1515,52,2586,4086.82327919567,4408.05491105955,0.58584686774942
45,1864,53,2863,3922.19699615788,4449.24903946909,0.651065316101991
46,1869,54,3706,3754.73421478683,4497.76956287102,0.504317323259579
47,1823,56,3764,4088.96493092455,4497.66312433581,0.48432518597237
48,1612,55,2954,3513.3855788761,4501.2105619499,0.545700744752877
49,2132,57,3777,3819.30420969023,4563.44638602065,0.56446915541435
50,1722,58,2429,4695.22643062989,4567.32811856731,0.708933717579251
51,1298,59,2341,4543.99102947458,4584.94489534387,0.554463904314396
52,1848,60,2923,3376.69757098871,4586.29798152583,0.632227163872733
53,1255,61,1986,4276.29959718026,4644.46978851964,0.631923464249748
54,1949,62,3493,3959.12224448898,4646.77154308617,0.557973089035213
55,1250,63,2061,2678.24260067928,4653.05240174673,0.606501698204755
56,2208,64,3729,3848.62054170019,4683.16358272995,0.592115848753017
57,1395,65,2224,4400.91142086331,4692.14973021583,0.627248201438849
58,2898,66,4912,3780.42223127036,4718.94503257329,0.589983713355049
59,1804,68,2730,4517.41684981685,4737.89413919414,0.660805860805861
60,2789,67,4260,3549.4103286385,4734.10093896714,0.654694835680751
61,1293,69,1886,4144.48780487805,4767.29798515376,0.685577942735949
62,1343,70,2270,4352.98149779736,4776.37004405286,0.591629955947137
63,1313,71,1916,2869.73121085595,4796.37369519833,0.685281837160752
64,1965,72,2760,2645.13586956522,4838.87101449275,0.71195652173913
65,2500,74,4154,3333.62181030332,4862.94655753491,0.601829561868079
66,1308,77,2476,2346.32027463651,4880.94305331179,0.52827140549273
67,1492,75,2464,2480.61647727273,4874.54342532467,0.605519480519481
68,2651,78,4760,2883.65168067227,4886.89054621849,0.556932773109244
69,1532,79,2465,2126.18052738337,4896.20121703854,0.621501014198783
70,1433,80,3008,2203.7579787234,4903.08942819149,0.476396276595745
71,1743,81,2623,2751.3488372093,4917.4948532215,0.664506290507053
72,1423,82,2421,2963.19826517968,4943.91284593143,0.587773647253201
73,1318,83,1961,3777.93574706782,4944.82202957675,0.672106068332483
74,1696,85,2916,2334.25788751715,4966.09773662551,0.58161865569273
75,1926,86,3689,3292.78151260504,4965.44619137978,0.522092708050962
76,1448,87,2227,2830.8819039066,4979.7768298159,0.650202065559048
77,2403,88,4030,2915.37866004963,5005.33920595534,0.596277915632754
78,1141,91,2113,2614.71935636536,5045.47562707052,0.539990534784666
79,2881,90,4848,2549.1029290429,5045.79888613861,0.594265676567657
80,1277,92,2132,3482.94230769231,5048.97185741088,0.598968105065666
81,2544,93,4445,2672.86636670416,5068.6125984252,0.572328458942632
82,1411,94,2143,2189.0088660756,5072.45403639757,0.658422771815212
83,1560,95,2141,1925.29005137786,5085.01074264362,0.728631480616534
84,2172,96,3234,2159.71459492888,5142.9332096475,0.671614100185529
85,1503,97,2378,1404.8952901598,5155.29226240538,0.632043734230446
86,1792,98,2749,3098.77373590397,5164.86322299018,0.651873408512186
87,1321,100,2151,1584.99581589958,5223.04556020456,0.614132961413296
88,2424,99,3831,2559.83764030279,5221.0065257113,0.6327329678935
89,2391,101,4121,2980.10628488231,5221.28245571463,0.580198980829896
90,1484,102,2177,3087.51998162609,5234.67018833257,0.681672025723473
91,2491,103,3796,2453.25763962065,5231.77186512118,0.656217070600632
92,1619,104,2397,1852.11722987067,5246.46891948269,0.675427617855653
93,2106,105,3527,2362.06577828183,5268.0660618089,0.597108023816274
94,1600,106,2251,1917.27010217681,5279.83651710351,0.710795202132386
