Gene,Ensemble ID,Nuc MIN6 1,Cyto MIN6 1,Nuc MIN6 2,Cyto MIN6 2,Nuc liver 1,Cyto liver 1,Nuc liver 2,Cyto liver 2
0610007P14Rik,ENSMUSG00000021252,0.264869,2.975598,0.275447,3.114368,3.509245,73.741799,1.968863,41.904278
0610009B22Rik,ENSMUSG00000007777,0.285471,5.986474,0.197914,6.489424,3.309418,52.984853,3.183011,29.033761
0610009L18Rik,ENSMUSG00000043644,0,0.259314,0,0.271407,0,0,0.428951,0
0610009O20Rik,ENSMUSG00000024442,4.64498,1.575326,1.458259,2.26709,2.177161,12.199944,2.280131,14.855824
0610010F05Rik,ENSMUSG00000042208,0.409913,2.803458,0.782868,4.323273,3.314303,7.853839,2.005535,5.502644
0610010K14Rik,ENSMUSG00000020831,5.170919,4.795483,3.649998,10.430324,11.704458,64.973381,8.698166,19.344475
0610011F06Rik,ENSMUSG00000025731,1.489434,8.928739,3.06709,9.373165,27.049221,255.018357,16.808215,183.575189
0610030E20Rik,ENSMUSG00000058706,0.156774,0.189671,0.188117,0.226876,1.198323,2.23831,1.837675,3.679534
0610037L13Rik,ENSMUSG00000028608,3.215418,3.445637,4.003552,5.24192,10.42483,107.47563,14.496056,38.681353
0610040J01Rik,ENSMUSG00000060512,0.817325,4.774635,0.74797,6.150553,0.974585,24.271908,1.579616,13.300156
0610043K17Rik,ENSMUSG00000087361,0,0,0,0,0,7.320965,0,0
1010001B22Rik,ENSMUSG00000097863,0,0,0,0,0.618279,0,0.925029,0
1010001N08Rik,ENSMUSG00000097222,0,0,0,0,0.707205,0,0.115948,0
1110001J03Rik,ENSMUSG00000019689,0,6.665651,0.36296,2.462298,0.867031,24.292471,1.297199,35.497084
1110002E22Rik,ENSMUSG00000090066,0,0,0,0,0,0,0,0
1110002J07Rik,ENSMUSG00000097134,0,0,0.050713,0.114678,0,0,0,0
1110002L01Rik,ENSMUSG00000071456,0,0,0.100156,0,0,4.46888,0,0
1110004E09Rik,ENSMUSG00000022972,0.628611,1.972654,0.32686,2.873013,0.520531,14.584247,1.16817,9.127591
1110004F10Rik,ENSMUSG00000030663,2.716133,12.96161,2.91676,15.699576,3.296666,104.275492,3.296213,40.549978
1110007C09Rik,ENSMUSG00000037960,0.130573,1.173512,0.271575,1.535299,0.648736,0,2.426492,13.279912
1110008E08Rik,ENSMUSG00000046119,0,0,0,0,0,0,0,0
1110008F13Rik,ENSMUSG00000027637,0,0,0,0,0,0,0,0
1110008L16Rik,ENSMUSG00000021023,0.628727,1.059888,0.327064,1.849016,0.781241,5.833429,0.467143,10.662166
1110008P14Rik,ENSMUSG00000039195,0.704009,6.327191,0.627535,7.568292,1.998733,42.000253,1.121389,27.276591
1110012L19Rik,ENSMUSG00000045237,0.140163,1.259697,0,0,0,6.503724,0.520939,0
1110015O18Rik,ENSMUSG00000098659,0,0,0,0,0,0,0,0
1110017D15Rik,ENSMUSG00000028441,0.534074,0,0.143951,0,0,0,0,0
1110019D14Rik,ENSMUSG00000097616,0,0.381026,0,0,1.263821,0,0,2.874561
1110020A21Rik,ENSMUSG00000097047,0.442187,0.165587,0.076641,0.173309,1.098471,3.419661,0,7.495415
1110025L11Rik,ENSMUSG00000068073,0,0,0,0,0,0,0,0
1110028F18Rik,ENSMUSG00000099139,0,0,0,0,0,0,0,0
1110032A03Rik,ENSMUSG00000037971,0.352185,2.730292,0.366253,1.480994,2.355135,89.621606,2.726904,20.625038
1110032F04Rik,ENSMUSG00000046999,0,0,0,0,0,0,0,0
1110034G24Rik,ENSMUSG00000044991,0.904355,0.631705,0.52591,0.176028,2.672766,7.898842,1.26404,4.765678
1110036E04Rik,ENSMUSG00000097036,0,0,0,0,0,0,0,0
1110037F02Rik,ENSMUSG00000040720,0.677851,0.949386,0.371707,0.633429,2.02955,7.433899,0.948895,6.92429
1110038B12Rik,ENSMUSG00000092203,3.031419,0.681914,3.62971,1.802886,13.33309,31.499056,10.135121,0
1110038F14Rik,ENSMUSG00000063236,2.033173,1.268947,2.114361,1.062498,10.101505,0,5.877363,7.658619
1110051M20Rik,ENSMUSG00000040591,6.617685,4.585069,4.404697,3.83541,10.952213,58.66298,9.717293,39.104111
1110054M08Rik,ENSMUSG00000097867,0.332772,0,0.076903,0.086951,1.102223,8.578354,1.649073,5.014014
1110057K04Rik,ENSMUSG00000037669,0.259713,0.453861,0.210066,0.950051,2.007217,36.15302,1.287025,21.522571
1110057P08Rik,ENSMUSG00000068067,0,0,0,0,0,0,0,0
1110058L19Rik,ENSMUSG00000026154,0.130217,2.340617,0,1.224886,0.646965,24.168894,1.451923,30.901895
1110059E24Rik,ENSMUSG00000035171,0.354762,1.302383,0.060702,0.686326,1.160023,14.667223,1.301665,7.915402
1110059G10Rik,ENSMUSG00000032551,0,0.290989,0.134682,0.304017,0,24.037695,1.444037,17.551062
1110065P20Rik,ENSMUSG00000078570,1.930975,4.795688,1.641472,4.54091,2.003921,32.81761,1.125266,31.008165
1190002F15Rik,ENSMUSG00000098318,3.648249,21.403365,1.475415,21.154701,0,0,0,6.870618
1190002N15Rik,ENSMUSG00000045414,0.055535,0.623895,0.154009,1.218919,1.379605,13.743513,1.788857,6.903375
1190003K10Rik,ENSMUSG00000096537,0,0,0,0,0,0,0,0
1190005I06Rik,ENSMUSG00000043687,0,0.327278,0,0,0.645205,12.051401,0.965311,18.54986
1190007I07Rik,ENSMUSG00000063320,0.250846,0.281803,0.245444,1.050457,1.869415,11.639476,0.932294,8.504179
1200007C13Rik,ENSMUSG00000087684,0,0,0,0,0,1.443787,0,0
1200014J11Rik,ENSMUSG00000020783,0.801585,1.700979,0.740975,1.361407,2.876293,6.199083,0.993079,7.548595
1300002E11Rik,ENSMUSG00000097290,0.553408,0.880135,0.168147,1.266074,7.197424,10.392467,1.43318,10.963012
1300017J02Rik,ENSMUSG00000033688,0,0,0,0,41.082491,413.505674,22.884093,357.143621
1500002C15Rik,ENSMUSG00000096221,0.43273,0.62912,0.238242,0.538741,1.644085,4.72451,0.946064,3.451813
1500004A13Rik,ENSMUSG00000098912,0.998773,0.815845,1.3312,0.995618,1.600655,2.509563,1.094106,0.581381
1500009C09Rik,ENSMUSG00000068099,0,0,0,0,0,0,0,0
1500009L16Rik,ENSMUSG00000087651,0.747366,3.358431,0.699492,3.339302,0,0,0,0
