"nuc_id","n_area","soma_id","s_area","locX","locY","nuc_soma_ratio"
1,2125,1,2714,3542.1429624171,3275.61753868828,0.782977155490052
2,1122,2,1553,3800.98325820992,3523.77076625885,0.722472633612363
3,1384,4,1899,3837.26803580832,3543.3944181148,0.728804634017904
4,1483,7,2331,3079.70441870442,3955.97726297726,0.636207636207636
5,991,9,1734,2871.14475201845,4351.43829296424,0.571510957324106
6,1714,11,2585,2385.61508704062,4599.26266924565,0.663056092843327
7,1473,12,2200,2412.81681818182,4746.22954545455,0.669545454545455
8,1304,15,2077,2202.49879634088,5131.69186326432,0.62782859894078
9,1072,16,1867,1652.99303695769,5666.93733261918,0.574183181574719
10,1277,19,1780,1630.03539325843,5876.06685393258,0.717415730337079
11,1173,20,1844,1848.48535791757,5876.33026030369,0.636117136659436
12,1252,24,1747,1705.23354321694,6183.19290211792,0.716657126502576
1,1396,1001,2124,3610.72269303202,3033.86487758945,0.657250470809793
2,1191,1002,1798,3740.87986651835,3329.14794215795,0.662402669632925
3,1127,1003,1768,3376.26583710407,3435.36877828054,0.637443438914027
4,1622,1004,2641,3207.75539568345,3579.08178720182,0.614161302536918
5,1417,1007,1731,2766.46967071057,4117.2842287695,0.818601964182553
6,1346,1008,2280,2802.2649122807,4165.54780701754,0.590350877192982
7,1426,1009,1904,2941.45640756303,4198.60031512605,0.748949579831933
8,1545,1010,2133,3021.33614627286,4257.39146741678,0.724331926863572
9,1429,1011,1972,2710.1014198783,4293.41632860041,0.724645030425964
10,1470,1012,2137,2901.29714553112,4341.42863827796,0.687880205896116
11,1568,1013,2175,2882.16183908046,4518.23540229885,0.720919540229885
12,1063,1016,1852,2734.00485961123,4883.21652267819,0.573974082073434
13,1129,1018,1566,2023.58876117497,5416.68007662835,0.720945083014049
14,1281,1019,1875,1734.8496,5467.6944,0.6832
15,1175,1021,1737,1881.00460564191,5980.01727115717,0.676453655728267
16,1208,1022,1784,1687.86322869955,6106.29876681614,0.677130044843049
1,1248,2001,1770,3775.14971751412,3366.3209039548,0.705084745762712
2,1097,2002,1530,3563.60849673203,3414.46535947712,0.716993464052288
3,1473,2004,2202,2931.74931880109,4260.71752951862,0.668937329700273
4,1228,2005,1741,2876.70936243538,4373.40551407237,0.705341757610569
5,1277,2006,1875,2576.31413333333,4430.55253333333,0.681066666666667
6,1363,2007,1942,2562.52780638517,4788.32749742533,0.701853759011329
7,974,2008,1375,2587.784,4950.16363636364,0.708363636363636
8,1325,2009,1945,2465.1763496144,5050.42159383033,0.681233933161954
9,1625,2010,2506,2176.11492418196,5074.45331205108,0.648443735035914
10,1381,2011,2188,2205.73354661792,5221.51279707495,0.631170018281536
11,1160,2012,1554,2026.67503217503,5235.50900900901,0.746460746460746
12,1197,2013,1888,2433.55773305085,5355.35699152542,0.634004237288136
13,1043,2014,1648,1705.96177184466,5616.10254854369,0.632888349514563
14,1399,2016,1901,1714.20252498685,6104.31825355076,0.735928458705944
