old,new
Pvalb.Wt1,Pvalb Wt1
Sst.Cbln4,Sst Cbln4
L4.Arf5,L4 Arf5
L4.Hsd11b1,L5a Hsd11b1
L5a.Batf3,L5a Batf3
L6.Car12,L6a Car12
L6a.Mgp,L6a Mgp
L5.Chrna6,L5 Chrna6
L5b.Cdh13,L5b Cdh13
L5b.Samd3,L5b Tph2
L6a.Plcxd3,L6a Sla
