Item,Source,Area,EqDiameter,MinFeret,MaxFeret,MaxFeret90,Perimeter,Red,Green,Blue,MeanIntensity,SumIntensity,MinIntensity,MaxIntensity,MeanBrightness,SumBrightness,MeanDensity,SumDensity,Channel,CenterX,CenterY,ShapeFactor,Roughness,ND.T,ND.Z,ND.M,Comment
28,fullcorticalcolumn_mouse_Nissl_DAPI_VISp_counted.nd2,87.91,10.58,8.38,13.55,8.84,35.34,38584.05,18778.58,0,18778.58,144482367,9910,56142,28.65,220465.96,0.56,4291.02,Blue,737.78,108.46,0.902,1.005,N/A,N/A,N/A,
29,fullcorticalcolumn_mouse_Nissl_DAPI_VISp_counted.nd2,96.5,11.08,9.42,13.6,9.61,36.07,28766.13,13201.03,0,28766.13,240887544,21532,38303,43.89,367570.83,0.36,3022.23,Green,699.51,117.18,0.946,1.005,N/A,N/A,N/A,
30,fullcorticalcolumn_mouse_Nissl_DAPI_VISp_counted.nd2,61.2,8.83,7.68,10.49,7.77,28.53,27546.95,14150.23,0,14150.23,75689570,9421,35569,21.59,115494.88,0.68,3624.93,Blue,699.23,117.2,0.96,1.003,N/A,N/A,N/A,
31,fullcorticalcolumn_mouse_Nissl_DAPI_VISp_counted.nd2,70.07,9.45,7.02,13.64,7.1,32.71,26916.66,19165.17,0,26916.66,164272354,21012,36453,41.07,250663.54,0.39,2372.75,Green,757.4,160.65,0.835,1.001,N/A,N/A,N/A,
32,fullcorticalcolumn_mouse_Nissl_DAPI_VISp_counted.nd2,57.28,8.54,7.08,11.45,7.14,28.53,26346.17,19934.37,0,19934.37,99432630,12860,51779,30.42,151724.47,0.53,2648.04,Blue,757.47,160.79,0.897,1.004,N/A,N/A,N/A,
33,fullcorticalcolumn_mouse_Nissl_DAPI_VISp_counted.nd2,112.45,11.97,10.29,14.91,10.71,39.41,29784.31,16312.63,0,29784.31,290456588,22901,39663,45.45,443208.34,0.35,3375.52,Green,729.47,214.51,0.92,1.007,N/A,N/A,N/A,
34,fullcorticalcolumn_mouse_Nissl_DAPI_VISp_counted.nd2,77.33,9.92,8.3,11.87,8.66,32.33,28562.26,18162.34,0,18162.34,121723984,10326,52878,27.71,185738.89,0.57,3828.13,Blue,729.78,214.49,0.946,1.004,N/A,N/A,N/A,
35,fullcorticalcolumn_mouse_Nissl_DAPI_VISp_counted.nd2,89.88,10.7,9.42,12.66,9.76,34.51,32840.93,22200.68,0,32840.93,256454861,24796,49623,50.11,391325.03,0.31,2388.4,Green,731.29,192.53,0.96,1.003,N/A,N/A,N/A,
36,fullcorticalcolumn_mouse_Nissl_DAPI_VISp_counted.nd2,69.39,9.4,8.81,10.83,8.96,30.22,32105.4,24015.27,0,24015.27,145316406,12669,56212,36.64,221738.62,0.45,2742.13,Blue,731.27,192.6,0.97,1.011,N/A,N/A,N/A,
37,fullcorticalcolumn_mouse_Nissl_DAPI_VISp_counted.nd2,105.21,11.57,9.8,14.28,10.26,38.07,34252.92,19965.11,0,34252.92,312318108,24776,50211,52.27,476566.88,0.29,2615.24,Green,726.71,201.05,0.923,1,N/A,N/A,N/A,
38,fullcorticalcolumn_mouse_Nissl_DAPI_VISp_counted.nd2,80.49,10.12,9.27,11.79,9.44,32.51,34216.48,21881.95,0,21881.95,152539055,13378,41954,33.39,232759.68,0.48,3373.2,Blue,727.16,200.94,0.971,1.005,N/A,N/A,N/A,
39,fullcorticalcolumn_mouse_Nissl_DAPI_VISp_counted.nd2,76.07,9.84,9.51,10.87,9.71,31.5,31413.92,25127.37,0,31413.92,207520337,22798,35979,47.93,316655.74,0.32,2112.49,Green,707.79,202.15,0.976,1.007,N/A,N/A,N/A,
40,fullcorticalcolumn_mouse_Nissl_DAPI_VISp_counted.nd2,61.39,8.84,8.23,9.78,8.34,28.18,31586.9,27417.94,0,27417.94,147481104,14278,59617,41.84,225041.74,0.39,2096.9,Blue,707.73,202.05,0.991,1.002,N/A,N/A,N/A,
41,fullcorticalcolumn_mouse_Nissl_DAPI_VISp_counted.nd2,91.09,10.77,9.84,12.68,9.89,34.51,32444.72,23524.41,0,32444.72,256345766,23852,43603,49.51,391158.57,0.31,2426.87,Green,654.36,168.91,0.972,1.005,N/A,N/A,N/A,
42,fullcorticalcolumn_mouse_Nissl_DAPI_VISp_counted.nd2,75.55,9.81,9.22,11.02,9.62,31.4,32374.64,24916.62,0,24916.62,163702223,14303,53812,38.02,249793.58,0.43,2835.29,Blue,654.43,169.03,0.974,1.004,N/A,N/A,N/A,
43,fullcorticalcolumn_mouse_Nissl_DAPI_VISp_counted.nd2,150.38,13.84,11.77,18.06,11.78,45.94,38944.64,16135.79,0,38944.64,507993889,19948,53383,59.43,775148.99,0.23,3048.8,Green,665.04,193.06,0.905,1.004,N/A,N/A,N/A,
44,fullcorticalcolumn_mouse_Nissl_DAPI_VISp_counted.nd2,72.07,9.58,9.03,10.59,9.59,30.53,40020.87,21470.84,0,21470.84,134922777,10248,47303,32.76,205878.96,0.5,3148,Blue,665,192.85,0.986,1.007,N/A,N/A,N/A,
45,fullcorticalcolumn_mouse_Nissl_DAPI_VISp_counted.nd2,103.87,11.5,10.67,12.92,10.96,36.82,23414.96,14017.97,0,23414.96,210617594,16343,33068,35.73,321381.85,0.45,4082.21,Green,642.49,201.37,0.975,1,N/A,N/A,N/A,
46,fullcorticalcolumn_mouse_Nissl_DAPI_VISp_counted.nd2,79.13,10.04,9.52,11.62,9.79,32.18,22696.79,15387.54,0,15387.54,105912406,9213,54127,23.48,161611.97,0.65,4460.72,Blue,642.35,201.41,0.974,1.002,N/A,N/A,N/A,
47,fullcorticalcolumn_mouse_Nissl_DAPI_VISp_counted.nd2,94.39,10.96,9.54,13.36,9.96,36.18,23555.39,14876.46,0,23555.39,193554659,18147,36028,35.94,295345.48,0.45,3689.56,Green,681.8,205.04,0.922,1.009,N/A,N/A,N/A,
48,fullcorticalcolumn_mouse_Nissl_DAPI_VISp_counted.nd2,73.99,9.71,8.4,12.37,8.65,31.93,22814.63,15748.73,0,15748.73,101500553,10070,39569,24.03,154879.92,0.63,4062.32,Blue,681.83,204.96,0.926,1,N/A,N/A,N/A,
49,fullcorticalcolumn_mouse_Nissl_DAPI_VISp_counted.nd2,78.48,10,8.13,13.08,8.84,33.52,33711.02,21313.74,0,33711.02,229032644,25158,44582,51.44,349481.41,0.29,1978.22,Green,723.83,148.75,0.892,1.011,N/A,N/A,N/A,
50,fullcorticalcolumn_mouse_Nissl_DAPI_VISp_counted.nd2,63.4,8.98,8.21,11.15,8.34,29.57,33504.22,22397.9,0,22397.9,123031641,14107,51519,34.18,187734.25,0.47,2602.04,Blue,724.04,148.45,0.928,1.006,N/A,N/A,N/A,
51,fullcorticalcolumn_mouse_Nissl_DAPI_VISp_counted.nd2,51.74,8.12,7.34,9.45,7.42,26.14,31454.19,29322.58,0,31454.19,141952741,25442,43427,48,216606,0.32,1448.22,Green,753.38,124.7,0.967,1.005,N/A,N/A,N/A,
52,fullcorticalcolumn_mouse_Nissl_DAPI_VISp_counted.nd2,52.69,8.19,7.18,9.87,7.18,26.53,31397.13,29137.72,0,29137.72,133742122,14508,49051,44.46,204077.4,0.36,1647.52,Blue,753.44,124.73,0.954,1.001,N/A,N/A,N/A,
53,fullcorticalcolumn_mouse_Nissl_DAPI_VISp_counted.nd2,51.32,8.08,6.89,10.14,7.1,26.59,31996.29,27762.65,0,31996.29,143247390,25159,39661,48.82,218581.51,0.31,1403.83,Green,747.04,128.4,0.929,1.001,N/A,N/A,N/A,
54,fullcorticalcolumn_mouse_Nissl_DAPI_VISp_counted.nd2,52.5,8.18,7.03,10.12,7.22,26.86,32206.82,28135.85,0,28135.85,129678126,16298,59297,42.93,197876.14,0.38,1746.07,Blue,747.02,128.19,0.931,1.006,N/A,N/A,N/A,
55,fullcorticalcolumn_mouse_Nissl_DAPI_VISp_counted.nd2,96.71,11.1,10.21,13.12,10.23,35.74,28004.34,15411.39,0,28004.34,234116253,21884,36857,42.73,357238.5,0.37,3106.23,Green,602.66,82.22,0.966,1.002,N/A,N/A,N/A,
56,fullcorticalcolumn_mouse_Nissl_DAPI_VISp_counted.nd2,81.16,10.17,9.5,11.32,9.93,32.7,27977.7,16285.15,0,16285.15,114663740,9397,38279,24.85,174965.65,0.61,4318.24,Blue,602.43,82.37,0.97,1.008,N/A,N/A,N/A,
57,fullcorticalcolumn_mouse_Nissl_DAPI_VISp_counted.nd2,90.57,10.74,9.18,13.39,9.29,35.21,30000.22,16379.53,0,30000.22,236731752,24154,40553,45.78,361229.5,0.34,2697.38,Green,592.94,94.25,0.931,1.002,N/A,N/A,N/A,
58,fullcorticalcolumn_mouse_Nissl_DAPI_VISp_counted.nd2,68.26,9.32,8.28,11.69,8.62,30.57,29744.06,17988.88,0,17988.88,106620120,10145,57543,27.45,162691.87,0.58,3433.64,Blue,592.96,94.36,0.932,1.004,N/A,N/A,N/A,
59,fullcorticalcolumn_mouse_Nissl_DAPI_VISp_counted.nd2,87.35,10.55,9.3,12.18,9.76,34.31,34540.06,17492.62,0,34540.06,261261006,24745,43653,52.7,398658.74,0.28,2112.76,Green,590.33,74.37,0.946,1,N/A,N/A,N/A,
60,fullcorticalcolumn_mouse_Nissl_DAPI_VISp_counted.nd2,74.46,9.74,8.52,11.46,8.53,31.4,34923.05,18394.24,0,18394.24,119047536,10455,39655,28.07,181654.9,0.56,3628.18,Blue,590.53,74.47,0.964,1.004,N/A,N/A,N/A,
61,fullcorticalcolumn_mouse_Nissl_DAPI_VISp_counted.nd2,78.29,9.98,9.7,10.63,10.45,31.79,32133.51,15741.3,0,32133.51,217833048,24653,40531,49.03,332391.92,0.31,2105.02,Green,579.12,50.56,0.987,1.002,N/A,N/A,N/A,
62,fullcorticalcolumn_mouse_Nissl_DAPI_VISp_counted.nd2,66.56,9.21,8.56,10.07,8.92,29.42,32358.63,16630.78,0,16630.78,96574948,10076,41740,25.38,147363.92,0.6,3512.56,Blue,579.22,50.49,0.985,1.006,N/A,N/A,N/A,
63,fullcorticalcolumn_mouse_Nissl_DAPI_VISp_counted.nd2,72.61,9.61,8.88,11.55,9,31.37,34286.84,15911.74,0,34286.84,215801396,25662,44965,52.32,329291.82,0.28,1787.39,Green,593.27,57.76,0.946,1.016,N/A,N/A,N/A,
64,fullcorticalcolumn_mouse_Nissl_DAPI_VISp_counted.nd2,60.76,8.8,7.41,10.87,7.48,28.61,34783.96,16613.87,0,16613.87,88020264,10285,38321,25.35,134310.31,0.6,3197.87,Blue,593.18,57.66,0.945,1.004,N/A,N/A,N/A,
65,fullcorticalcolumn_mouse_Nissl_DAPI_VISp_counted.nd2,89.82,10.69,10.21,11.99,10.43,34.11,23653.76,10059.54,0,23653.76,183695077,0,34379,36.09,280300.72,0.51,3980.92,Green,591.41,15.72,0.981,1.002,N/A,N/A,N/A,
66,fullcorticalcolumn_mouse_Nissl_DAPI_VISp_counted.nd2,68.67,9.35,8.77,10.85,8.83,30.27,23526.05,11295.02,0,11295.02,67420004,5305,26016,17.24,102876.33,0.78,4644.93,Blue,591.29,15.43,0.956,1.015,N/A,N/A,N/A,
67,fullcorticalcolumn_mouse_Nissl_DAPI_VISp_counted.nd2,71.74,9.56,9.03,10.53,9.24,30.44,31532.31,15652.64,0,31532.31,196761594,24238,39562,48.12,300238.95,0.32,1993.12,Green,683.42,48.77,0.986,1.004,N/A,N/A,N/A,
68,fullcorticalcolumn_mouse_Nissl_DAPI_VISp_counted.nd2,69.03,9.38,8.31,11.12,8.37,30.26,31665.2,16064.18,0,16064.18,96642101,9820,45042,24.51,147466.39,0.62,3745.7,Blue,683.24,48.65,0.961,1.009,N/A,N/A,N/A,
69,fullcorticalcolumn_mouse_Nissl_DAPI_VISp_counted.nd2,128.27,12.78,10.67,16,10.71,41.97,31266.64,12371,0,31266.64,347216044,22614,59448,47.71,529817.72,0.33,3671.59,Green,736.72,43.86,0.925,1,N/A,N/A,N/A,
70,fullcorticalcolumn_mouse_Nissl_DAPI_VISp_counted.nd2,107.15,11.68,9.94,14.63,10.23,38.36,30194.61,12687.95,0,12687.95,118264359,7427,28659,19.36,180459.84,0.73,6791.48,Blue,736.74,43.82,0.927,1.005,N/A,N/A,N/A,
71,fullcorticalcolumn_mouse_Nissl_DAPI_VISp_counted.nd2,80.92,10.15,9.36,11.25,9.54,32.56,32784.5,18846.24,0,32784.5,230934008,24593,40647,50.03,352382.71,0.3,2126.55,Green,614.26,182.67,0.976,1.006,N/A,N/A,N/A,
72,fullcorticalcolumn_mouse_Nissl_DAPI_VISp_counted.nd2,62.62,8.93,8.66,9.71,8.85,28.35,32629.67,20893.82,0,20893.82,114163814,11336,37658,31.88,174202.81,0.5,2758.6,Blue,614.3,182.84,0.995,1.003,N/A,N/A,N/A,
73,fullcorticalcolumn_mouse_Nissl_DAPI_VISp_counted.nd2,109.12,11.79,10.45,14.12,10.97,38.2,30661.6,13716.47,0,30661.6,289445476,20334,40630,46.79,441665.49,0.33,3156.97,Green,608.3,170.81,0.948,1.003,N/A,N/A,N/A,
74,fullcorticalcolumn_mouse_Nissl_DAPI_VISp_counted.nd2,97.13,11.12,10.8,11.91,11.18,35.32,30734.73,14238.2,0,14238.2,119472745,7909,46155,21.73,182303.72,0.69,5753.45,Blue,608.41,170.65,0.992,1.009,N/A,N/A,N/A,
75,fullcorticalcolumn_mouse_Nissl_DAPI_VISp_counted.nd2,91.99,10.82,10.13,12.84,10.49,35.6,23843.63,11235.8,0,23843.63,190033738,18482,32032,36.38,289972.9,0.44,3515.92,Green,652.31,149.74,0.927,1.011,N/A,N/A,N/A,
76,fullcorticalcolumn_mouse_Nissl_DAPI_VISp_counted.nd2,79.59,10.07,8.76,12.09,9.32,32.61,23752.67,11568.21,0,11568.21,79600844,7539,28111,17.65,121463.1,0.76,5238.51,Blue,652.41,149.47,0.952,1.002,N/A,N/A,N/A,
77,fullcorticalcolumn_mouse_Nissl_DAPI_VISp_counted.nd2,78.44,9.99,9.64,10.92,10,31.83,28653.5,15850.7,0,28653.5,195760707,20845,36576,43.72,298711.69,0.36,2464.13,Green,604.95,200.33,0.986,1.006,N/A,N/A,N/A,
78,fullcorticalcolumn_mouse_Nissl_DAPI_VISp_counted.nd2,63.22,8.97,8.73,9.69,9.42,28.62,29171.62,17254.98,0,17254.98,95264726,9659,33565,26.33,145364.65,0.59,3250.55,Blue,604.73,200.14,0.984,1.013,N/A,N/A,N/A,
79,fullcorticalcolumn_mouse_Nissl_DAPI_VISp_counted.nd2,95.3,11.02,10.05,12.85,10.17,35.47,25896.1,13738.95,0,25896.1,213746429,17485,33423,39.51,326156.14,0.41,3347.53,Green,622.57,214.88,0.965,1.013,N/A,N/A,N/A,
80,fullcorticalcolumn_mouse_Nissl_DAPI_VISp_counted.nd2,84.92,10.4,9.85,11.61,9.94,33.19,26149.68,14317.14,0,14317.14,105202330,7050,42037,21.85,160528.47,0.68,4995.28,Blue,622.54,214.97,0.981,1.002,N/A,N/A,N/A,
81,fullcorticalcolumn_mouse_Nissl_DAPI_VISp_counted.nd2,82.19,10.23,9.73,11.6,9.85,32.68,27883.47,15107.74,0,27883.47,199088003,20254,33803,42.55,303788.82,0.37,2664.82,Green,627.87,188.16,0.98,1.002,N/A,N/A,N/A,
82,fullcorticalcolumn_mouse_Nissl_DAPI_VISp_counted.nd2,80.96,10.15,10.06,10.89,10.32,32.32,27875.99,15196.51,0,15196.51,106512360,8788,35544,23.19,162527.44,0.65,4535.84,Blue,627.73,187.87,0.985,1.012,N/A,N/A,N/A,
83,fullcorticalcolumn_mouse_Nissl_DAPI_VISp_counted.nd2,115.65,12.13,10.69,14.13,11.02,39.21,23113.13,14444.11,0,23113.13,231408682,13765,30353,35.27,353107.01,0.46,4556.88,Green,622.9,231.5,0.958,1.01,N/A,N/A,N/A,
84,fullcorticalcolumn_mouse_Nissl_DAPI_VISp_counted.nd2,83.11,10.29,9.22,12.04,9.44,33.11,23196.42,15812.85,0,15812.85,113646923,7228,40924,24.13,173414.09,0.63,4552.35,Blue,622.72,231.66,0.965,1.007,N/A,N/A,N/A,
85,fullcorticalcolumn_mouse_Nissl_DAPI_VISp_counted.nd2,76.85,9.89,7.86,12.56,8.75,32.77,23029.65,15307.58,0,23029.65,154045361,17356,33477,35.14,235058.15,0.46,3063.87,Green,747.75,220.58,0.912,1.001,N/A,N/A,N/A,
86,fullcorticalcolumn_mouse_Nissl_DAPI_VISp_counted.nd2,61.14,8.82,7.06,11.22,7.24,29.43,22712.04,16588.31,0,16588.31,88382534,8609,35262,25.31,134863.1,0.61,3250.83,Blue,747.63,220.27,0.901,1.011,N/A,N/A,N/A,
87,fullcorticalcolumn_mouse_Nissl_DAPI_VISp_counted.nd2,81.52,10.19,8.96,12.57,9.28,33.38,25887.39,13356.34,0,25887.39,183308583,18364,35812,39.5,279710.97,0.41,2878.97,Green,752.13,213.33,0.929,1.016,N/A,N/A,N/A,
88,fullcorticalcolumn_mouse_Nissl_DAPI_VISp_counted.nd2,60.96,8.81,7.82,10.38,8.14,28.51,25575.61,14060.27,0,14060.27,74547563,8775,46107,21.45,113752.29,0.69,3633.23,Blue,752.15,213.55,0.96,1.008,N/A,N/A,N/A,
89,fullcorticalcolumn_mouse_Nissl_DAPI_VISp_counted.nd2,56.86,8.51,7.52,10.54,7.52,27.62,24223.79,22027.48,0,24223.79,120416448,19856,31690,36.96,183743.72,0.43,2156.1,Green,765.47,205.53,0.951,1.01,N/A,N/A,N/A,
90,fullcorticalcolumn_mouse_Nissl_DAPI_VISp_counted.nd2,53.2,8.23,7.01,10.05,7.03,26.79,24344,22414.59,0,22414.59,103824389,13582,58118,34.2,158425.86,0.48,2215.63,Blue,765.53,205.63,0.948,1.007,N/A,N/A,N/A,
91,fullcorticalcolumn_mouse_Nissl_DAPI_VISp_counted.nd2,113.14,12,9.65,15.38,9.82,39.82,26800.4,15443.12,0,26800.4,264332312,20101,34374,40.89,403345.25,0.39,3852.12,Green,781.91,225.6,0.913,1.01,N/A,N/A,N/A,
92,fullcorticalcolumn_mouse_Nissl_DAPI_VISp_counted.nd2,79.84,10.08,8.6,12.72,8.64,33.05,26893.26,17435.41,0,17435.41,121768906,9189,44409,26.6,185807.44,0.59,4125.48,Blue,782.2,225.56,0.934,1.003,N/A,N/A,N/A,
93,fullcorticalcolumn_mouse_Nissl_DAPI_VISp_counted.nd2,82.79,10.27,8.17,13.95,8.35,34.67,26616.37,20157.79,0,26616.37,191345103,18932,32210,40.61,291973.91,0.39,2824.11,Green,768.18,285.35,0.878,1,N/A,N/A,N/A,
94,fullcorticalcolumn_mouse_Nissl_DAPI_VISp_counted.nd2,55.37,8.4,7.08,10.11,7.85,27.55,27111.46,23807.26,0,23807.26,114441485,11458,51357,36.33,174626.51,0.45,2173.36,Blue,768.46,285.07,0.937,1.009,N/A,N/A,N/A,
95,fullcorticalcolumn_mouse_Nissl_DAPI_VISp_counted.nd2,97.1,11.12,8.63,15.48,8.82,38.39,32422.35,19598.79,0,32422.35,271634470,18184,42323,49.47,414487.63,0.31,2601.32,Green,745.58,295.75,0.845,1.001,N/A,N/A,N/A,
96,fullcorticalcolumn_mouse_Nissl_DAPI_VISp_counted.nd2,57.68,8.57,6.57,11.63,6.66,28.95,33170.67,24284.82,0,24284.82,123294052,11957,46891,37.06,188134.66,0.44,2232.86,Blue,745.52,295.8,0.883,1.01,N/A,N/A,N/A,
97,fullcorticalcolumn_mouse_Nissl_DAPI_VISp_counted.nd2,96.46,11.08,9.13,15.58,9.15,37.76,25769.91,14376.25,0,25769.91,216003401,19653,32840,39.32,329600.06,0.41,3411.91,Green,758.63,261.23,0.866,1.004,N/A,N/A,N/A,
98,fullcorticalcolumn_mouse_Nissl_DAPI_VISp_counted.nd2,72.97,9.64,7.74,11.87,8.55,31.75,26483.87,15744.09,0,15744.09,99660097,9804,40984,24.02,152071.56,0.63,3980.9,Blue,758.61,261.03,0.922,1.006,N/A,N/A,N/A,
