Item,Source,Area,EqDiameter,MinFeret,MaxFeret,MaxFeret90,Perimeter,Red,Green,Blue,MeanIntensity,SumIntensity,MinIntensity,MaxIntensity,MeanBrightness,SumBrightness,MeanDensity,SumDensity,Channel,CenterX,CenterY,ShapeFactor,Roughness,ND.T,ND.Z,ND.M,Comment
1,fullcorticalcolumn_mouse_Nissl_DAPI_VISp_counted.nd2,96.07,11.06,9.97,12.52,10.53,35.63,29756.57,15618.41,0,29756.57,248140065,21365,41663,45.41,378637.47,0.35,2890.58,Green,653.55,69.06,0.963,1.001,N/A,N/A,N/A,
2,fullcorticalcolumn_mouse_Nissl_DAPI_VISp_counted.nd2,71.18,9.52,9.1,10.57,9.15,30.49,29253.54,17328.29,0,17328.29,107331444,10248,38303,26.44,163777.29,0.59,3651.92,Blue,653.44,68.87,0.978,1.007,N/A,N/A,N/A,
3,fullcorticalcolumn_mouse_Nissl_DAPI_VISp_counted.nd2,101.69,11.38,10.07,14.83,10.16,37.58,27790.28,14655.93,0,27790.28,244999096,20282,37702,42.41,373844.66,0.37,3299.79,Green,634.77,51.49,0.917,1.006,N/A,N/A,N/A,
4,fullcorticalcolumn_mouse_Nissl_DAPI_VISp_counted.nd2,71.13,9.52,8.12,10.87,8.21,30.78,27542.75,16428.28,0,16428.28,102134592,9555,50272,25.07,155847.4,0.62,3847.6,Blue,634.88,51.24,0.959,1,N/A,N/A,N/A,
5,fullcorticalcolumn_mouse_Nissl_DAPI_VISp_counted.nd2,77.21,9.91,8.67,11.88,9.08,32.43,26712.92,12026.97,0,26712.92,180365657,14223,41721,40.76,275220.35,0.4,2699.42,Green,619.32,20.09,0.942,1,N/A,N/A,N/A,
6,fullcorticalcolumn_mouse_Nissl_DAPI_VISp_counted.nd2,59.38,8.7,7.75,9.93,7.85,27.9,26915.64,13471.67,0,13471.67,69554207,7794,35308,20.56,106132.92,0.7,3630.54,Blue,619.43,20.11,0.974,1.008,N/A,N/A,N/A,
7,fullcorticalcolumn_mouse_Nissl_DAPI_VISp_counted.nd2,99.52,11.26,9.42,13.61,9.42,36.64,32177.67,14860.6,0,32177.67,279559579,24890,44542,49.1,426580.57,0.31,2706.69,Green,648.26,17.98,0.947,1.005,N/A,N/A,N/A,
8,fullcorticalcolumn_mouse_Nissl_DAPI_VISp_counted.nd2,76.2,9.85,8.78,11.21,8.81,31.63,31960.71,15991.03,0,15991.03,106100478,9393,35948,24.4,161898.95,0.62,4123.6,Blue,647.85,18.03,0.97,1.006,N/A,N/A,N/A,
9,fullcorticalcolumn_mouse_Nissl_DAPI_VISp_counted.nd2,101.71,11.38,10.19,13.29,10.43,36.64,33942.24,16655.88,0,33942.24,298725618,24735,51677,51.79,455826.07,0.29,2555.41,Green,687.31,35.75,0.961,1.009,N/A,N/A,N/A,
10,fullcorticalcolumn_mouse_Nissl_DAPI_VISp_counted.nd2,81.12,10.16,8.77,11.93,8.77,32.7,33879.38,17910.53,0,17910.53,125964752,9513,51532,27.33,192209.89,0.58,4091.95,Blue,687.2,35.8,0.964,1.007,N/A,N/A,N/A,
11,fullcorticalcolumn_mouse_Nissl_DAPI_VISp_counted.nd2,126.82,12.71,11.16,15.35,11.32,41.09,35787.31,15944,0,35787.31,393374091,27391,51064,54.61,600250.39,0.27,2932,Green,700.83,75.74,0.954,1.009,N/A,N/A,N/A,
12,fullcorticalcolumn_mouse_Nissl_DAPI_VISp_counted.nd2,90.91,10.76,9.97,12.17,10.05,34.44,34069.05,17285.74,0,17285.74,136419067,10616,51514,26.38,208162.15,0.59,4656.43,Blue,701.11,75.65,0.977,1.005,N/A,N/A,N/A,
13,fullcorticalcolumn_mouse_Nissl_DAPI_VISp_counted.nd2,102.01,11.4,9.93,13.7,10.7,36.98,33706.45,18595.29,0,33706.45,298807689,27059,41392,51.43,455951.31,0.29,2567.5,Green,676.1,85.2,0.949,1.008,N/A,N/A,N/A,
14,fullcorticalcolumn_mouse_Nissl_DAPI_VISp_counted.nd2,81.41,10.18,9.41,11.54,9.77,32.53,33722.28,19661.24,0,19661.24,139319536,11327,53271,30,212587.99,0.53,3779.17,Blue,676.13,85.28,0.978,1.004,N/A,N/A,N/A,
15,fullcorticalcolumn_mouse_Nissl_DAPI_VISp_counted.nd2,79.39,10.05,9.79,10.63,10.35,32.07,30564.48,16379.19,0,30564.48,210803210,23184,40856,46.64,321665.08,0.33,2301.05,Green,664.79,102.32,0.985,1.009,N/A,N/A,N/A,
16,fullcorticalcolumn_mouse_Nissl_DAPI_VISp_counted.nd2,47.62,7.79,7.62,8.28,7.63,24.7,30824.14,19472.3,0,19472.3,80615331,12324,38828,29.71,123011.11,0.53,2210.98,Blue,665.1,102.31,0.999,1.01,N/A,N/A,N/A,
17,fullcorticalcolumn_mouse_Nissl_DAPI_VISp_counted.nd2,93.84,10.93,9.46,13.77,9.66,36.12,35426.5,23861.04,0,35426.5,287911133,25538,45761,54.06,439324.23,0.27,2192.44,Green,691.67,104.66,0.918,1.006,N/A,N/A,N/A,
18,fullcorticalcolumn_mouse_Nissl_DAPI_VISp_counted.nd2,71.69,9.55,8.74,11.2,8.74,30.69,36080.34,25892.8,0,25892.8,161855921,13324,52618,39.51,246976.3,0.42,2596.96,Blue,691.45,104.58,0.974,1.007,N/A,N/A,N/A,
19,fullcorticalcolumn_mouse_Nissl_DAPI_VISp_counted.nd2,97,11.11,10.94,11.88,11.34,35.28,30596.3,15996.34,0,30596.3,258446935,22050,36134,46.69,394364.74,0.33,2803.29,Green,627.26,114.09,0.992,1.005,N/A,N/A,N/A,
20,fullcorticalcolumn_mouse_Nissl_DAPI_VISp_counted.nd2,73.38,9.67,9.03,10.67,9.12,31.03,31095.62,17957.23,0,17957.23,114351617,9124,44059,27.4,174489.38,0.57,3653.65,Blue,627.34,114.12,0.971,1.005,N/A,N/A,N/A,
21,fullcorticalcolumn_mouse_Nissl_DAPI_VISp_counted.nd2,101.85,11.39,10.54,13.15,10.72,37,30497.49,18272.45,0,30497.49,269506301,22402,40126,46.54,411240.25,0.33,2953.72,Green,655.78,134.07,0.946,1.016,N/A,N/A,N/A,
22,fullcorticalcolumn_mouse_Nissl_DAPI_VISp_counted.nd2,73.81,9.69,9.04,10.92,9.25,31.15,31116.93,20805.73,0,20805.73,133718402,11684,60702,31.75,204041.2,0.51,3291.59,Blue,655.92,134.26,0.973,1.002,N/A,N/A,N/A,
23,fullcorticalcolumn_mouse_Nissl_DAPI_VISp_counted.nd2,101.72,11.38,9.61,13.82,9.85,37.09,35716.66,25700.16,0,35716.66,314949469,25464,44190,54.5,480582.08,0.27,2343.13,Green,681.03,139.36,0.943,1.001,N/A,N/A,N/A,
24,fullcorticalcolumn_mouse_Nissl_DAPI_VISp_counted.nd2,71.47,9.54,8.88,10.97,8.97,30.58,36213.62,29336.18,0,29336.18,182412362,16095,65535,44.76,278344.24,0.36,2256.71,Blue,681.16,139.24,0.972,1.001,N/A,N/A,N/A,
25,fullcorticalcolumn_mouse_Nissl_DAPI_VISp_counted.nd2,91.16,10.77,9.22,13.68,9.25,35.44,32308.9,20729.6,0,32308.9,255983376,24381,45361,49.3,390605.59,0.31,2458.96,Green,700.65,158.13,0.924,1.006,N/A,N/A,N/A,
26,fullcorticalcolumn_mouse_Nissl_DAPI_VISp_counted.nd2,67.92,9.3,8.12,11.18,8.37,30.17,31261.49,21802.77,0,21802.77,128505517,14638,59566,33.27,196086.85,0.49,2890.6,Blue,700.76,158.11,0.954,1.001,N/A,N/A,N/A,
27,fullcorticalcolumn_mouse_Nissl_DAPI_VISp_counted.nd2,122.03,12.46,10.4,15.79,10.77,40.94,38890.58,17529.14,0,38890.58,410295610,26382,49754,59.34,626070.97,0.23,2418.47,Green,737.92,108.4,0.925,1.006,N/A,N/A,N/A,
