"cre","n_area","s_area","nuc_soma_ratio"
"rbp4",68.4656295596,101.283454896,0.675980392156863
"rbp4",126.852562382,193.381890598,0.65596919127086
"rbp4",91.0061631492,131.2713013456,0.693267776096823
"rbp4",85.5448003852,142.3926218832,0.600767085076709
"rbp4",90.7579193872,133.6544414608,0.679049034175334
"rbp4",105.6525451072,152.4713186204,0.692933897753175
"rbp4",102.9218637252,180.5725124788,0.569975254330492
"rbp4",110.46847409,202.2690172776,0.546146293568974
"rbp4",123.5757447236,247.6976257236,0.498897574664261
"rbp4",63.053915548,114.4900230344,0.550737207285343
"rbp4",133.7537389656,211.5533339764,0.632245951654541
"rbp4",118.164030712,207.9289750512,0.56829035339064
"rbp4",97.2122571992,189.3603416536,0.513371788148925
"rbp4",71.2956084464,129.335000002,0.551247600767754
"rbp4",102.9715124776,171.6853857992,0.599768652400231
"rbp4",93.8857907884,148.5987159332,0.631807550952222
"rbp4",67.1747619972,108.6314702512,0.618372943327239
"rbp4",53.3227600776,92.594923226,0.575871313672922
"rbp4",85.8426928996,117.0717581592,0.733248515691264
"rbp4",124.7176660288,202.7158560492,0.615233896644624
"rbp4",84.3035815752,142.3429731308,0.592256714335542
"rbp4",83.8567428036,140.9031593112,0.595137420718816
"rbp4",77.5017024964,132.9593589272,0.582897684839432
"rbp4",69.1607120932,148.1022284092,0.466979550787798
"rbp4",98.7017197712,178.7851573924,0.5520688697584
"rbp4",67.0754644924,134.6474165088,0.498156342182891
"rbp4",78.2464337824,146.712063342,0.533333333333333
"rbp4",95.822092132,164.6352629584,0.582026537997587
"rbp4",123.8239884856,202.31866603,0.612024539877301
"rbp4",59.4295566228,105.3050038404,0.564356435643564
"rbp4",98.9003147808,136.1865278332,0.726212176449143
"rbp4",74.0262898284,118.4619232264,0.624895222129086
"rbp4",86.388829176,120.6961170844,0.715754833401892
"rbp4",78.6436238016,122.3345259136,0.642857142857143
"rbp4",95.9710383892,167.2666468356,0.573760759869397
"rbp4",84.6014740896,118.2633282168,0.71536523929471
"rbp4",85.0979616136,122.88066219,0.692525252525253
"rbp4",83.8567428036,114.5893205392,0.731802426343154
"rbp4",94.33262956,163.7912341676,0.575932100636557
"rbp4",93.6375470264,147.4071458756,0.63523071741327
"rbp4",88.9705643008,132.0160326316,0.673937570515231
"rbp4",61.4651554712,111.8089904048,0.549733570159858
"rbp4",69.4586046076,109.5747965468,0.633892161304939
"rbp4",75.217859886,128.3916737064,0.58584686774942
"rbp4",92.5452744736,142.1443781212,0.651065316101991
"rbp4",92.7935182356,183.9982763944,0.504317323259579
"rbp4",90.5096756252,186.8779040336,0.48432518597237
"rbp4",80.0337888688,146.6624145896,0.545700744752877
"rbp4",105.8511401168,187.5233378148,0.56446915541435
"rbp4",85.4951516328,120.5968195796,0.708933717579251
"rbp4",64.4440806152,116.2277293684,0.554463904314396
"rbp4",91.7508944352,145.1233032652,0.632227163872733
"rbp4",62.309184262,98.6024222664,0.631923464249748
"rbp4",96.7654184276,173.4230921332,0.557973089035213
"rbp4",62.0609405,102.3260786964,0.606501698204755
"rbp4",109.6244452992,185.1401976996,0.592115848753017
"rbp4",69.260009598,110.4188253376,0.627248201438849
"rbp4",143.8820844552,243.8746717888,0.589983713355049
"rbp4",89.5663493296,135.541094052,0.660805860805861
"rbp4",138.4703704436,211.503685224,0.654694835680751
"rbp4",64.1958368532,93.6375470264,0.685577942735949
"rbp4",66.6782744732,112.702667948,0.591629955947137
"rbp4",65.1888119012,95.1270095984,0.685281837160752
"rbp4",97.559798466,137.030556624,0.71195652173913
"rbp4",124.121881,206.2409174696,0.601829561868079
"rbp4",64.9405681392,122.9303109424,0.52827140549273
"rbp4",74.0759385808,122.3345259136,0.605519480519481
"rbp4",131.6188426124,236.328061424,0.556932773109244
"rbp4",76.0618886768,122.384174666,0.621501014198783
"rbp4",71.1466621892,149.3434472192,0.476396276595745
"rbp4",86.5377754332,130.2286775452,0.664506290507053
"rbp4",70.6501746652,120.1996295604,0.587773647253201
"rbp4",65.4370556632,97.3612034564,0.672106068332483
"rbp4",84.2042840704,144.7757619984,0.58161865569273
"rbp4",95.6234971224,183.1542476036,0.522092708050962
"rbp4",71.8913934752,110.5677715948,0.650202065559048
"rbp4",119.3059520172,200.084472172,0.596277915632754
"rbp4",56.6492264884,104.9078138212,0.539990534784666
"rbp4",143.0380556644,240.6971516352,0.594265676567657
"rbp4",63.4014568148,105.8511401168,0.598968105065666
"rbp4",126.3064261056,220.688704418,0.572328458942632
"rbp4",70.0543896364,106.3972763932,0.658422771815212
"rbp4",77.452053744,106.2979788884,0.728631480616534
"rbp4",107.8370902128,160.5640652616,0.671614100185529
"rbp4",74.6220748572,118.0647332072,0.632043734230446
"rbp4",88.9705643008,136.4844203476,0.651873408512186
"rbp4",65.5860019204,106.7944664124,0.614132961413296
"rbp4",120.3485758176,190.2043704444,0.6327329678935
"rbp4",118.7101669884,204.6025086404,0.580198980829896
"rbp4",73.6787485616,108.0853339748,0.681672025723473
"rbp4",123.6750422284,188.4666641104,0.656217070600632
"rbp4",80.3813301356,119.0080595028,0.675427617855653
"rbp4",104.5602725544,175.1111497148,0.597108023816274
"rbp4",79.43800384,111.7593416524,0.710795202132386
"rbp4",68.018790788,90.6586218824,0.750273822562979
"rbp4",84.0553378132,148.7973109428,0.564898231564898
"rbp4",70.1040383888,107.3902514412,0.652797041146556
"rbp4",126.7532648772,220.192216894,0.57564825253664
"rbp4",63.3518080624,80.0337888688,0.791563275434243
"rbp4",119.405249522,191.5945355116,0.623218450375745
"rbp4",102.6239712108,130.6258675644,0.785632839224629
"rbp4",92.8928157404,111.5607466428,0.83266577659101
"rbp4",105.4539500976,167.812783112,0.628402366863905
"rbp4",79.8351938592,108.5321727464,0.735590118938701
